1;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
2;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
3;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
4;Memuaskan;Tidak Ada;Mampu;Baik;Puas
5;Memuaskan;Tidak Ada;Mampu;Baik;Puas
6;Cukup Memuaskan;Ada;Kurang Mampu;Cukup Baik;Tidak Puas
7;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
8;Cukup Memuaskan;Tidak Ada;Mampu;Baik;Puas
9;Memuaskan;Tidak Ada;Mampu;Baik;Puas
10;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
11;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
12;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
13;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
14;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
15;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
16;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
17;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
18;Memuaskan;Tidak Ada;Mampu;Baik;Puas
19;Memuaskan;Tidak Ada;Sangat Mampu;Baik;Puas
20;Memuaskan;Tidak Ada;Mampu;Baik;Puas
21;Memuaskan;Tidak Ada;Mampu;Baik;Puas
22;Memuaskan;Tidak Ada;Mampu;Baik;Puas
23;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
24;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
25;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
26;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
27;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
28;Memuaskan;Tidak Ada;Mampu;Baik;Puas
29;Memuaskan;Tidak Ada;Mampu;Baik;Puas
30;Tidak Memuaskan;Tidak Ada;Mampu;Baik;Tidak Puas
31;Cukup Memuaskan;Ada;Kurang Mampu;Cukup Baik;Tidak Puas
32;Memuaskan;Tidak Ada;Mampu;Baik;Puas
33;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
34;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
35;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
36;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
37;Memuaskan;Tidak Ada;Mampu;Baik;Puas
38;Memuaskan;Tidak Ada;Mampu;Baik;Puas
39;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
40;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
41;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
42;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
43;Memuaskan;Tidak Ada;Mampu;Baik;Puas
44;Memuaskan;Tidak Ada;Mampu;Baik;Puas
