1;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Baik;Puas
2;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Baik;Puas
3;Sangat Memuaskan;Tidak Ada;Mampu;Baik;Puas
4;Memuaskan;Tidak Ada;Mampu;Baik;Puas
5;Memuaskan;Tidak Ada;Mampu;Baik;Puas
6;Memuaskan;Tidak Ada;Mampu;Baik;Puas
7;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
8;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
9;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
10;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
11;Memuaskan;Tidak Ada;Mampu;Baik;Puas
12;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
13;Memuaskan;Tidak Ada;Mampu;Baik;Puas
14;Memuaskan;Tidak Ada;Mampu;Baik;Puas
15;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
16;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
17;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
18;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
19;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
20;Memuaskan;Tidak Ada;Mampu;Baik;Puas
21;Memuaskan;Tidak Ada;Mampu;Baik;Puas
22;Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
23;Memuaskan;Tidak Ada;Sangat Mampu;Baik;Puas
24;Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
25;Cukup Memuaskan;Ada;Kurang Mampu;Cukup Baik;Tidak Puas
26;Cukup Memuaskan;Ada;Kurang Mampu;Cukup Baik;Tidak Puas
27;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
28;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
29;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
30;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
31;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
32;Memuaskan;Tidak Ada;Mampu;Baik;Puas
